iter	Logloss
0	0.6650448298
1	0.62711403
2	0.5973522274
3	0.576376115
4	0.5550073581
5	0.5303854731
6	0.5135352594
7	0.4871098657
8	0.4681924583
9	0.4471769361
10	0.4233460624
11	0.4090486593
12	0.393068189
13	0.3738187088
14	0.3563692277
15	0.3398863689
16	0.3296362057
17	0.3194305794
18	0.3041033596
19	0.2937307094
20	0.2847700262
21	0.2731418207
22	0.2680568486
23	0.255813449
24	0.2485979931
25	0.2424797806
26	0.2331991114
27	0.2296609142
28	0.2229061183
29	0.2149401558
30	0.2084801686
31	0.2051012032
32	0.195325975
33	0.1923407238
34	0.1877866534
35	0.1841116439
36	0.1779986622
37	0.1747905063
38	0.1697202315
39	0.1627043401
40	0.1613228921
41	0.1557975542
42	0.1494551051
43	0.1437349438
44	0.1391455758
45	0.1367761307
46	0.1326939721
47	0.1309246963
48	0.1279038901
49	0.1239493717
50	0.1204648754
51	0.1166138845
52	0.1120141293
53	0.1083213975
54	0.1039333222
55	0.1020120826
56	0.099699303
57	0.09683828417
58	0.09522183239
59	0.0937172053
60	0.09248988205
61	0.08944599272
62	0.08803990595
63	0.08573803806
64	0.08277586229
65	0.08164358543
66	0.07885207237
67	0.0771205685
68	0.07492231219
69	0.07400519125
70	0.07229499286
71	0.07037926598
72	0.06906970421
73	0.0672372623
74	0.06622994385
75	0.06442116321
76	0.06403274562
77	0.06282003771
78	0.06205460389
79	0.06090808551
80	0.0596334834
81	0.05903319626
82	0.0584676208
83	0.05771658984
84	0.05694655314
85	0.05634966047
86	0.05530299835
87	0.05401837132
88	0.0532726787
89	0.05202269303
90	0.05102456154
91	0.05040411605
92	0.05001051648
93	0.04962697223
94	0.04856279831
95	0.04766523773
96	0.0471083785
97	0.04635301647
98	0.04543599786
99	0.04499524737
