iter	Passed	Remaining
0	2	200
1	4	217
2	6	198
3	8	202
4	10	192
5	12	197
6	14	193
7	16	193
8	18	188
9	20	182
10	22	179
11	23	175
12	25	171
13	27	166
14	28	163
15	30	160
16	32	157
17	34	157
18	36	157
19	39	156
20	41	157
21	44	158
22	46	157
23	48	154
24	50	152
25	52	149
26	54	146
27	55	141
28	56	139
29	58	136
30	59	133
31	61	131
32	63	129
33	65	126
34	66	123
35	68	121
36	69	118
37	71	116
38	72	114
39	74	111
40	75	108
41	77	106
42	78	104
43	80	102
44	81	100
45	83	97
46	84	95
47	86	93
48	87	90
49	88	88
50	89	86
51	91	84
52	92	82
53	93	79
54	94	77
55	96	75
56	97	73
57	98	71
58	99	69
59	101	67
60	102	65
61	103	63
62	105	61
63	106	59
64	107	58
65	109	56
66	110	54
67	111	52
68	113	50
69	114	49
70	115	47
71	116	45
72	118	43
73	119	41
74	120	40
75	122	38
76	123	36
77	124	35
78	126	33
79	127	31
80	128	30
81	130	28
82	131	26
83	132	25
84	134	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	143	12
92	145	10
93	146	9
94	147	7
95	149	6
96	150	4
97	151	3
98	152	1
99	154	0
